epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1687.74,0.55142,0.42241,1.05513,0.75973,0.68375,0.73336,0.55888,0.77814,1.05451,1.42302,0.0001295,0.0001295,0.0001295
86,1707.44,0.55461,0.41379,1.05563,0.74899,0.70135,0.75548,0.56311,0.80322,1.0039,1.47255,0.000121887,0.000121887,0.000121887
87,1727.42,0.55758,0.40777,1.05669,0.76257,0.69106,0.74928,0.55764,0.80456,1.04041,1.46763,0.000114273,0.000114273,0.000114273
88,1747.39,0.54549,0.40088,1.04692,0.7408,0.68624,0.73653,0.57228,0.78637,1.01811,1.44534,0.00010666,0.00010666,0.00010666
89,1767.13,0.54045,0.3998,1.0416,0.80744,0.65144,0.7475,0.56406,0.79275,1.07872,1.45291,9.90472e-05,9.90472e-05,9.90472e-05
90,1786.67,0.54937,0.41085,1.05008,0.75471,0.6912,0.74219,0.56767,0.79639,1.05654,1.45792,9.14341e-05,9.14341e-05,9.14341e-05
91,1820.88,0.46408,0.31106,0.98521,0.74652,0.65642,0.71657,0.54518,0.81159,1.01641,1.48889,8.3821e-05,8.3821e-05,8.3821e-05
92,1838.86,0.45566,0.29279,0.98075,0.75595,0.67439,0.7301,0.55934,0.81216,1.02833,1.49425,7.62079e-05,7.62079e-05,7.62079e-05
93,1857.43,0.44205,0.27974,0.96927,0.75138,0.67764,0.73711,0.56293,0.8095,1.01851,1.48629,6.85948e-05,6.85948e-05,6.85948e-05
94,1875.67,0.44048,0.2766,0.97099,0.76053,0.68794,0.74668,0.56104,0.81676,1.01396,1.48776,6.09817e-05,6.09817e-05,6.09817e-05
95,1893.2,0.43252,0.26786,0.96671,0.7783,0.67886,0.739,0.57087,0.7963,1.02403,1.45666,5.33686e-05,5.33686e-05,5.33686e-05
96,1911.34,0.43161,0.26991,0.96644,0.75355,0.69245,0.73921,0.56708,0.79958,1.00368,1.48953,4.57555e-05,4.57555e-05,4.57555e-05
97,1929.85,0.43131,0.2688,0.96437,0.77818,0.66071,0.72923,0.56237,0.79022,1.02863,1.46597,3.81424e-05,3.81424e-05,3.81424e-05
98,1948.23,0.42737,0.26257,0.96328,0.79454,0.64866,0.74048,0.56816,0.80253,1.00932,1.47666,3.05293e-05,3.05293e-05,3.05293e-05
99,1966.38,0.4224,0.25715,0.96147,0.78351,0.66379,0.74154,0.57262,0.79647,1.00867,1.47055,2.29162e-05,2.29162e-05,2.29162e-05
100,1984.39,0.4211,0.26023,0.95808,0.78351,0.66771,0.73898,0.5669,0.79512,1.03778,1.46062,1.53031e-05,1.53031e-05,1.53031e-05
